(0.0,0.0)
(0.2,0.0)
(0.4,0.0)
(0.6000000000000001,0.0)
(0.8,0.0)
(1.0,0.0)
(1.2,0.0)
(1.4,0.0)
(1.5999999999999999,0.0)
(1.7999999999999998,0.0)
(1.9999999999999998,0.0)
(2.1999999999999997,0.0)
(2.4,0.0)
(2.6,0.0)
(2.8000000000000003,0.0)
(3.0000000000000004,0.0)
(3.2000000000000006,0.0)
(3.400000000000001,0.0)
(3.600000000000001,0.0)
(3.800000000000001,0.0)
(4.000000000000001,0.0)
(4.200000000000001,0.0)
(4.400000000000001,0.0)
(4.600000000000001,0.0)
(4.800000000000002,0.0)
(5.000000000000002,0.0)
(5.200000000000002,0.0)
(5.400000000000002,0.0)
(5.600000000000002,0.0)
(5.8000000000000025,0.0)
(6.000000000000003,0.0)
(6.200000000000003,0.0)
(6.400000000000003,0.0)
(6.600000000000003,0.0)
(6.800000000000003,0.0)
(7.0000000000000036,0.0)
(7.200000000000004,0.0)
(7.400000000000004,0.0)
(7.600000000000004,0.0)
(7.800000000000004,0.0)
(8.000000000000004,0.0)
(8.200000000000003,0.0)
(8.400000000000002,0.0)
(8.600000000000001,0.0)
(8.8,0.0)
(9.0,0.0)
(9.2,0.0)
(9.399999999999999,0.0)
(9.599999999999998,0.0)
(9.799999999999997,0.0)
(9.999999999999996,0.0)
(10.199999999999996,0.01333333333333303)
(10.399999999999995,0.020000000000000018)
(10.599999999999994,0.020000000000000018)
(10.799999999999994,0.020000000000000018)
(10.999999999999993,0.020000000000000018)
(11.199999999999992,0.020000000000000018)
(11.399999999999991,0.020000000000000018)
(11.59999999999999,0.020000000000000018)
(11.79999999999999,0.020000000000000018)
(11.99999999999999,0.020000000000000018)
(12.199999999999989,0.020000000000000018)
(12.399999999999988,0.020000000000000018)
(12.599999999999987,0.020000000000000018)
(12.799999999999986,0.020000000000000018)
(12.999999999999986,0.020000000000000018)
(13.199999999999985,0.020000000000000018)
(13.399999999999984,0.020000000000000018)
